stage,res_type,res_id,res_number
206032,0,3,257
206033,0,3,258
206034,0,3,259
206035,0,3,260
301001,0,3,261
301002,0,3,262
301003,0,3,263
301004,0,3,264
301005,0,3,265
301006,0,3,266
301007,0,3,267
301008,0,3,268
301009,0,3,269
301010,0,3,270
301011,0,3,271
301012,0,3,272
301013,0,3,273
301014,0,3,274
301015,0,3,275
301016,0,3,276
301017,0,3,277
301018,0,3,278
301019,0,3,279
301020,0,3,280
302001,0,3,281
302002,0,3,282
302003,0,3,283
302004,0,3,284
302005,0,3,285
302006,0,3,286
302007,0,3,287
302008,0,3,288
302009,0,3,289
302010,0,3,290
302011,0,3,291
302012,0,3,292
302013,0,3,293
302014,0,3,294
302015,0,3,295
302016,0,3,296
302017,0,3,297
302018,0,3,298
302019,0,3,299
302020,0,3,300
302021,0,3,301
302022,0,3,302
302023,0,3,303
302024,0,3,304
302025,0,3,305
303001,0,3,306
303002,0,3,307
303003,0,3,308
303004,0,3,309
303005,0,3,310
303006,0,3,311
303007,0,3,312
303008,0,3,313
303009,0,3,314
303010,0,3,315
303011,0,3,316
303012,0,3,317
303013,0,3,318
303014,0,3,319
303015,0,3,320
303016,0,3,321
303017,0,3,322
303018,0,3,323
303019,0,3,324
303020,0,3,325
303021,0,3,326
303022,0,3,327
303023,0,3,328
303024,0,3,329
303025,0,3,330
303026,0,3,331
303027,0,3,332
303028,0,3,333
303029,0,3,334
303030,0,3,335
304001,0,3,336
304002,0,3,337
304003,0,3,338
304004,0,3,339
304005,0,3,340
304006,0,3,341
304007,0,3,342
304008,0,3,343
304009,0,3,344
304010,0,3,345
304011,0,3,346
304012,0,3,347
304013,0,3,348
304014,0,3,349
304015,0,3,350
304016,0,3,351
304017,0,3,352
304018,0,3,353
304019,0,3,354
304020,0,3,355
304021,0,3,356
304022,0,3,357
304023,0,3,358
304024,0,3,359
304025,0,3,360
304026,0,3,361
304027,0,3,362
304028,0,3,363
304029,0,3,364
304030,0,3,365
305001,0,3,366
305002,0,3,367
305003,0,3,368
305004,0,3,369
305005,0,3,370
305006,0,3,371
305007,0,3,372
305008,0,3,373
305009,0,3,374
305010,0,3,375
305011,0,3,376
305012,0,3,377
305013,0,3,378
305014,0,3,379
305015,0,3,380
305016,0,3,381
305017,0,3,382
305018,0,3,383
305019,0,3,384
305020,0,3,385
305021,0,3,386
305022,0,3,387
305023,0,3,388
305024,0,3,389
305025,0,3,390
305026,0,3,391
305027,0,3,392
305028,0,3,393
305029,0,3,394
305030,0,3,395
305031,0,3,396
305032,0,3,397
305033,0,3,398
305034,0,3,399
305035,0,3,400
306001,0,3,401
306002,0,3,402
306003,0,3,403
306004,0,3,404
306005,0,3,405
306006,0,3,406
306007,0,3,407
306008,0,3,408
306009,0,3,409
306010,0,3,410
306011,0,3,411
306012,0,3,412
306013,0,3,413
306014,0,3,414
306015,0,3,415
306016,0,3,416
306017,0,3,417
306018,0,3,418
306019,0,3,419
306020,0,3,420
306021,0,3,421
306022,0,3,422
306023,0,3,423
306024,0,3,424
306025,0,3,425
306026,0,3,426
306027,0,3,427
306028,0,3,428
306029,0,3,429
306030,0,3,430
306031,0,3,431
306032,0,3,432
306033,0,3,433
306034,0,3,434
306035,0,3,435
306036,0,3,436
306037,0,3,437
306038,0,3,438
306039,0,3,439
306040,0,3,440
307001,0,3,441
307002,0,3,442
307003,0,3,443
307004,0,3,444
307005,0,3,445
307006,0,3,446
307007,0,3,447
307008,0,3,448
307009,0,3,449
307010,0,3,450
307011,0,3,451
307012,0,3,452
307013,0,3,453
307014,0,3,454
307015,0,3,455
307016,0,3,456
307017,0,3,457
307018,0,3,458
307019,0,3,459
307020,0,3,460
307021,0,3,461
307022,0,3,462
307023,0,3,463
307024,0,3,464
307025,0,3,465
307026,0,3,466
307027,0,3,467
307028,0,3,468
307029,0,3,469
307030,0,3,470
307031,0,3,471
307032,0,3,472
307033,0,3,473
307034,0,3,474
307035,0,3,475
307036,0,3,476
307037,0,3,477
307038,0,3,478
307039,0,3,479
307040,0,3,480
307041,0,3,481
307042,0,3,482
307043,0,3,483
307044,0,3,484
307045,0,3,485
401001,0,3,486
401002,0,3,487
401003,0,3,488
401004,0,3,489
401005,0,3,490
401006,0,3,491
401007,0,3,492
401008,0,3,493
401009,0,3,494
401010,0,3,495
401011,0,3,496
401012,0,3,497
401013,0,3,498
401014,0,3,499
401015,0,3,500
401016,0,3,501
401017,0,3,502
401018,0,3,503
401019,0,3,504
401020,0,3,505
401021,0,3,506
401022,0,3,507
401023,0,3,508
401024,0,3,509
401025,0,3,510
402001,0,3,511
402002,0,3,512
402003,0,3,513
402004,0,3,514
402005,0,3,515
402006,0,3,516
402007,0,3,517
402008,0,3,518
402009,0,3,519
402010,0,3,520
402011,0,3,521
402012,0,3,522
402013,0,3,523
402014,0,3,524
402015,0,3,525
402016,0,3,526
402017,0,3,527
402018,0,3,528
402019,0,3,529
402020,0,3,530
402021,0,3,531
402022,0,3,532
402023,0,3,533
402024,0,3,534
402025,0,3,535
402026,0,3,536
402027,0,3,537
402028,0,3,538
402029,0,3,539
402030,0,3,540
403001,0,3,541
403002,0,3,542
403003,0,3,543
403004,0,3,544
403005,0,3,545
403006,0,3,546
403007,0,3,547
403008,0,3,548
403009,0,3,549
403010,0,3,550
403011,0,3,551
403012,0,3,552
403013,0,3,553
403014,0,3,554
403015,0,3,555
403016,0,3,556
403017,0,3,557
403018,0,3,558
403019,0,3,559
403020,0,3,560
403021,0,3,561
403022,0,3,562
403023,0,3,563
403024,0,3,564
403025,0,3,565
403026,0,3,566
403027,0,3,567
403028,0,3,568
403029,0,3,569
403030,0,3,570
403031,0,3,571
403032,0,3,572
403033,0,3,573
403034,0,3,574
403035,0,3,575
404001,0,3,576
404002,0,3,577
404003,0,3,578
404004,0,3,579
404005,0,3,580
404006,0,3,581
404007,0,3,582
404008,0,3,583
404009,0,3,584
404010,0,3,585
404011,0,3,586
404012,0,3,587
404013,0,3,588
404014,0,3,589
404015,0,3,590
404016,0,3,591
404017,0,3,592
404018,0,3,593
404019,0,3,594
404020,0,3,595
404021,0,3,596
404022,0,3,597
404023,0,3,598
404024,0,3,599
404025,0,3,600
404026,0,3,601
404027,0,3,602
404028,0,3,603
404029,0,3,604
404030,0,3,605
404031,0,3,606
404032,0,3,607
404033,0,3,608
404034,0,3,609
404035,0,3,610
405001,0,3,611
405002,0,3,612
405003,0,3,613
405004,0,3,614
405005,0,3,615
405006,0,3,616
405007,0,3,617
405008,0,3,618
405009,0,3,619
405010,0,3,620
405011,0,3,621
405012,0,3,622
405013,0,3,623
405014,0,3,624
405015,0,3,625
405016,0,3,626
405017,0,3,627
405018,0,3,628
405019,0,3,629
405020,0,3,630
405021,0,3,631
405022,0,3,632
405023,0,3,633
405024,0,3,634
405025,0,3,635
405026,0,3,636
405027,0,3,637
405028,0,3,638
405029,0,3,639
405030,0,3,640
405031,0,3,641
405032,0,3,642
405033,0,3,643
405034,0,3,644
405035,0,3,645
405036,0,3,646
405037,0,3,647
405038,0,3,648
405039,0,3,649
405040,0,3,650
406001,0,3,651
406002,0,3,652
406003,0,3,653
406004,0,3,654
406005,0,3,655
406006,0,3,656
406007,0,3,657
406008,0,3,658
406009,0,3,659
406010,0,3,660
406011,0,3,661
406012,0,3,662
406013,0,3,663
406014,0,3,664
406015,0,3,665
406016,0,3,666
406017,0,3,667
406018,0,3,668
406019,0,3,669
406020,0,3,670
406021,0,3,671
406022,0,3,672
406023,0,3,673
406024,0,3,674
406025,0,3,675
406026,0,3,676
406027,0,3,677
406028,0,3,678
406029,0,3,679
406030,0,3,680
406031,0,3,681
406032,0,3,682
406033,0,3,683
406034,0,3,684
406035,0,3,685
406036,0,3,686
406037,0,3,687
406038,0,3,688
406039,0,3,689
406040,0,3,690
406041,0,3,691
406042,0,3,692
406043,0,3,693
406044,0,3,694
406045,0,3,695
406046,0,3,696
406047,0,3,697
406048,0,3,698
406049,0,3,699
406050,0,3,700
407001,0,3,701
407002,0,3,702
407003,0,3,703
407004,0,3,704
407005,0,3,705
407006,0,3,706
407007,0,3,707
407008,0,3,708
407009,0,3,709
407010,0,3,710
407011,0,3,711
407012,0,3,712
407013,0,3,713
407014,0,3,714
407015,0,3,715
407016,0,3,716
407017,0,3,717
407018,0,3,718
407019,0,3,719
407020,0,3,720
407021,0,3,721
407022,0,3,722
407023,0,3,723
407024,0,3,724
407025,0,3,725
407026,0,3,726
407027,0,3,727
407028,0,3,728
407029,0,3,729
407030,0,3,730
407031,0,3,731
407032,0,3,732
407033,0,3,733
407034,0,3,734
407035,0,3,735
407036,0,3,736
407037,0,3,737
407038,0,3,738
407039,0,3,739
407040,0,3,740
407041,0,3,741
407042,0,3,742
407043,0,3,743
407044,0,3,744
407045,0,3,745
407046,0,3,746
407047,0,3,747
407048,0,3,748
407049,0,3,749
407050,0,3,750
408001,0,3,751
408002,0,3,752
408003,0,3,753
408004,0,3,754
408005,0,3,755
408006,0,3,756
408007,0,3,757
408008,0,3,758
408009,0,3,759
408010,0,3,760
408011,0,3,761
408012,0,3,762
408013,0,3,763
408014,0,3,764
408015,0,3,765
408016,0,3,766
408017,0,3,767
408018,0,3,768
408019,0,3,769
408020,0,3,770
408021,0,3,771
408022,0,3,772
408023,0,3,773
408024,0,3,774
408025,0,3,775
408026,0,3,776
408027,0,3,777
408028,0,3,778
408029,0,3,779
408030,0,3,780
408031,0,3,781
408032,0,3,782
408033,0,3,783
408034,0,3,784
408035,0,3,785
408036,0,3,786
408037,0,3,787
408038,0,3,788
408039,0,3,789
408040,0,3,790
408041,0,3,791
408042,0,3,792
408043,0,3,793
408044,0,3,794
408045,0,3,795
408046,0,3,796
408047,0,3,797
408048,0,3,798
408049,0,3,799
408050,0,3,800
408051,0,3,801
408052,0,3,802
408053,0,3,803
408054,0,3,804
408055,0,3,805
501001,0,3,806
501002,0,3,807
501003,0,3,808
501004,0,3,809
501005,0,3,810
501006,0,3,811
501007,0,3,812
501008,0,3,813
501009,0,3,814
501010,0,3,815
501011,0,3,816
501012,0,3,817
501013,0,3,818
501014,0,3,819
501015,0,3,820
501016,0,3,821
501017,0,3,822
501018,0,3,823
501019,0,3,824
501020,0,3,825
501021,0,3,826
501022,0,3,827
501023,0,3,828
501024,0,3,829
501025,0,3,830
501026,0,3,831
501027,0,3,832
501028,0,3,833
501029,0,3,834
501030,0,3,835
502001,0,3,836
502002,0,3,837
502003,0,3,838
502004,0,3,839
502005,0,3,840
502006,0,3,841
502007,0,3,842
502008,0,3,843
502009,0,3,844
502010,0,3,845
502011,0,3,846
502012,0,3,847
502013,0,3,848
502014,0,3,849
502015,0,3,850
502016,0,3,851
502017,0,3,852
502018,0,3,853
502019,0,3,854
502020,0,3,855
502021,0,3,856
502022,0,3,857
502023,0,3,858
502024,0,3,859
502025,0,3,860
502026,0,3,861
502027,0,3,862
502028,0,3,863
502029,0,3,864
502030,0,3,865
502031,0,3,866
502032,0,3,867
502033,0,3,868
502034,0,3,869
502035,0,3,870
503001,0,3,871
503002,0,3,872
503003,0,3,873
503004,0,3,874
503005,0,3,875
503006,0,3,876
503007,0,3,877
503008,0,3,878
503009,0,3,879
503010,0,3,880
503011,0,3,881
503012,0,3,882
503013,0,3,883
503014,0,3,884
503015,0,3,885
503016,0,3,886
503017,0,3,887
503018,0,3,888
503019,0,3,889
503020,0,3,890
503021,0,3,891
503022,0,3,892
503023,0,3,893
503024,0,3,894
503025,0,3,895
503026,0,3,896
503027,0,3,897
503028,0,3,898
503029,0,3,899
503030,0,3,900
503031,0,3,901
503032,0,3,902
503033,0,3,903
503034,0,3,904
503035,0,3,905
503036,0,3,906
503037,0,3,907
503038,0,3,908
503039,0,3,909
503040,0,3,910
504001,0,3,911
504002,0,3,912
504003,0,3,913
504004,0,3,914
504005,0,3,915
504006,0,3,916
504007,0,3,917
504008,0,3,918
504009,0,3,919
504010,0,3,920
504011,0,3,921
504012,0,3,922
504013,0,3,923
504014,0,3,924
504015,0,3,925
504016,0,3,926
504017,0,3,927
504018,0,3,928
504019,0,3,929
504020,0,3,930
504021,0,3,931
504022,0,3,932
504023,0,3,933
504024,0,3,934
504025,0,3,935
504026,0,3,936
504027,0,3,937
504028,0,3,938
504029,0,3,939
504030,0,3,940
504031,0,3,941
504032,0,3,942
504033,0,3,943
504034,0,3,944
504035,0,3,945
504036,0,3,946
504037,0,3,947
504038,0,3,948
504039,0,3,949
504040,0,3,950
504041,0,3,951
504042,0,3,952
504043,0,3,953
504044,0,3,954
504045,0,3,955
505001,0,3,956
505002,0,3,957
505003,0,3,958
505004,0,3,959
505005,0,3,960
505006,0,3,961
505007,0,3,962
505008,0,3,963
505009,0,3,964
505010,0,3,965
505011,0,3,966
505012,0,3,967
505013,0,3,968
505014,0,3,969
505015,0,3,970
505016,0,3,971
505017,0,3,972
505018,0,3,973
505019,0,3,974
505020,0,3,975
505021,0,3,976
505022,0,3,977
505023,0,3,978
505024,0,3,979
505025,0,3,980
505026,0,3,981
505027,0,3,982
505028,0,3,983
505029,0,3,984
505030,0,3,985
505031,0,3,986
505032,0,3,987
505033,0,3,988
505034,0,3,989
505035,0,3,990
505036,0,3,991
505037,0,3,992
505038,0,3,993
505039,0,3,994
505040,0,3,995
505041,0,3,996
505042,0,3,997
505043,0,3,998
505044,0,3,999
505045,0,3,1000
505046,0,3,1001
505047,0,3,1002
505048,0,3,1003
505049,0,3,1004
505050,0,3,1005
506001,0,3,1006
506002,0,3,1007
506003,0,3,1008
506004,0,3,1009
506005,0,3,1010
506006,0,3,1011
506007,0,3,1012
506008,0,3,1013
506009,0,3,1014
506010,0,3,1015
506011,0,3,1016
506012,0,3,1017
506013,0,3,1018
506014,0,3,1019
506015,0,3,1020
506016,0,3,1021
506017,0,3,1022
506018,0,3,1023
506019,0,3,1024
506020,0,3,1025
506021,0,3,1026
506022,0,3,1027
506023,0,3,1028
506024,0,3,1029
506025,0,3,1030
506026,0,3,1031
506027,0,3,1032
506028,0,3,1033
506029,0,3,1034
506030,0,3,1035
506031,0,3,1036
506032,0,3,1037
506033,0,3,1038
506034,0,3,1039
506035,0,3,1040
506036,0,3,1041
506037,0,3,1042
506038,0,3,1043
506039,0,3,1044
506040,0,3,1045
506041,0,3,1046
506042,0,3,1047
506043,0,3,1048
506044,0,3,1049
506045,0,3,1050
506046,0,3,1051
506047,0,3,1052
506048,0,3,1053
506049,0,3,1054
506050,0,3,1055
507001,0,3,1056
507002,0,3,1057
507003,0,3,1058
507004,0,3,1059
507005,0,3,1060
507006,0,3,1061
507007,0,3,1062
507008,0,3,1063
507009,0,3,1064
507010,0,3,1065
507011,0,3,1066
507012,0,3,1067
507013,0,3,1068
507014,0,3,1069
507015,0,3,1070
507016,0,3,1071
507017,0,3,1072
507018,0,3,1073
507019,0,3,1074
507020,0,3,1075
507021,0,3,1076
507022,0,3,1077
507023,0,3,1078
507024,0,3,1079
507025,0,3,1080
507026,0,3,1081
507027,0,3,1082
507028,0,3,1083
507029,0,3,1084
507030,0,3,1085
507031,0,3,1086
507032,0,3,1087
507033,0,3,1088
507034,0,3,1089
507035,0,3,1090
507036,0,3,1091
507037,0,3,1092
507038,0,3,1093
507039,0,3,1094
507040,0,3,1095
507041,0,3,1096
507042,0,3,1097
507043,0,3,1098
507044,0,3,1099
507045,0,3,1100
507046,0,3,1101
507047,0,3,1102
507048,0,3,1103
507049,0,3,1104
507050,0,3,1105
507051,0,3,1106
507052,0,3,1107
507053,0,3,1108
507054,0,3,1109
507055,0,3,1110
508001,0,3,1111
508002,0,3,1112
508003,0,3,1113
508004,0,3,1114
508005,0,3,1115
508006,0,3,1116
508007,0,3,1117
508008,0,3,1118
508009,0,3,1119
508010,0,3,1120
508011,0,3,1121
508012,0,3,1122
508013,0,3,1123
508014,0,3,1124
508015,0,3,1125
508016,0,3,1126
508017,0,3,1127
508018,0,3,1128
508019,0,3,1129
508020,0,3,1130
508021,0,3,1131
508022,0,3,1132
508023,0,3,1133
508024,0,3,1134
508025,0,3,1135
508026,0,3,1136
508027,0,3,1137
508028,0,3,1138
508029,0,3,1139
508030,0,3,1140
508031,0,3,1141
508032,0,3,1142
508033,0,3,1143
508034,0,3,1144
508035,0,3,1145
508036,0,3,1146
508037,0,3,1147
508038,0,3,1148
508039,0,3,1149
508040,0,3,1150
508041,0,3,1151
508042,0,3,1152
508043,0,3,1153
508044,0,3,1154
508045,0,3,1155
508046,0,3,1156
508047,0,3,1157
508048,0,3,1158
508049,0,3,1159
508050,0,3,1160
508051,0,3,1161
508052,0,3,1162
508053,0,3,1163
508054,0,3,1164
508055,0,3,1165
508056,0,3,1166
508057,0,3,1167
508058,0,3,1168
508059,0,3,1169
508060,0,3,1170
509001,0,3,1171
509002,0,3,1172
509003,0,3,1173
509004,0,3,1174
509005,0,3,1175
509006,0,3,1176
509007,0,3,1177
509008,0,3,1178
509009,0,3,1179
509010,0,3,1180
509011,0,3,1181
509012,0,3,1182
509013,0,3,1183
509014,0,3,1184
509015,0,3,1185
509016,0,3,1186
509017,0,3,1187
509018,0,3,1188
509019,0,3,1189
509020,0,3,1190
509021,0,3,1191
509022,0,3,1192
509023,0,3,1193
509024,0,3,1194
509025,0,3,1195
509026,0,3,1196
509027,0,3,1197
509028,0,3,1198
509029,0,3,1199
509030,0,3,1200
509031,0,3,1201
509032,0,3,1202
509033,0,3,1203
509034,0,3,1204
509035,0,3,1205
509036,0,3,1206
509037,0,3,1207
509038,0,3,1208
509039,0,3,1209
509040,0,3,1210
509041,0,3,1211
509042,0,3,1212
509043,0,3,1213
509044,0,3,1214
509045,0,3,1215
509046,0,3,1216
509047,0,3,1217
509048,0,3,1218
509049,0,3,1219
509050,0,3,1220
509051,0,3,1221
509052,0,3,1222
509053,0,3,1223
509054,0,3,1224
509055,0,3,1225
509056,0,3,1226
509057,0,3,1227
509058,0,3,1228
509059,0,3,1229
509060,0,3,1230
509061,0,3,1231
509062,0,3,1232
509063,0,3,1233
509064,0,3,1234
509065,0,3,1235
601001,0,3,1236
601002,0,3,1237
601003,0,3,1238
601004,0,3,1239
601005,0,3,1240
601006,0,3,1241
601007,0,3,1242
601008,0,3,1243
601009,0,3,1244
601010,0,3,1245
601011,0,3,1246
601012,0,3,1247
601013,0,3,1248
601014,0,3,1249
601015,0,3,1250
601016,0,3,1251
601017,0,3,1252
601018,0,3,1253
601019,0,3,1254
601020,0,3,1255
601021,0,3,1256
601022,0,3,1257
601023,0,3,1258
601024,0,3,1259
601025,0,3,1260
601026,0,3,1261
601027,0,3,1262
601028,0,3,1263
601029,0,3,1264
601030,0,3,1265
601031,0,3,1266
601032,0,3,1267
601033,0,3,1268
601034,0,3,1269
601035,0,3,1270
601036,0,3,1271
601037,0,3,1272
601038,0,3,1273
601039,0,3,1274
601040,0,3,1275
601041,0,3,1276
601042,0,3,1277
601043,0,3,1278
601044,0,3,1279
601045,0,3,1280
601046,0,3,1281
601047,0,3,1282
601048,0,3,1283
601049,0,3,1284
601050,0,3,1285
601051,0,3,1286
601052,0,3,1287
601053,0,3,1288
601054,0,3,1289
601055,0,3,1290
602001,0,3,1291
602002,0,3,1292
602003,0,3,1293
602004,0,3,1294
602005,0,3,1295
602006,0,3,1296
602007,0,3,1297
602008,0,3,1298
602009,0,3,1299
602010,0,3,1300
602011,0,3,1301
602012,0,3,1302
602013,0,3,1303
602014,0,3,1304
602015,0,3,1305
602016,0,3,1306
602017,0,3,1307
602018,0,3,1308
602019,0,3,1309
602020,0,3,1310
602021,0,3,1311
602022,0,3,1312
602023,0,3,1313
602024,0,3,1314
602025,0,3,1315
602026,0,3,1316
602027,0,3,1317
602028,0,3,1318
602029,0,3,1319
602030,0,3,1320
602031,0,3,1321
602032,0,3,1322
602033,0,3,1323
602034,0,3,1324
602035,0,3,1325
602036,0,3,1326
602037,0,3,1327
602038,0,3,1328
602039,0,3,1329
602040,0,3,1330
602041,0,3,1331
602042,0,3,1332
602043,0,3,1333
602044,0,3,1334
602045,0,3,1335
602046,0,3,1336
602047,0,3,1337
602048,0,3,1338
602049,0,3,1339
602050,0,3,1340
602051,0,3,1341
602052,0,3,1342
602053,0,3,1343
602054,0,3,1344
602055,0,3,1345
603001,0,3,1346
603002,0,3,1347
603003,0,3,1348
603004,0,3,1349
603005,0,3,1350
603006,0,3,1351
603007,0,3,1352
603008,0,3,1353
603009,0,3,1354
603010,0,3,1355
603011,0,3,1356
603012,0,3,1357
603013,0,3,1358
603014,0,3,1359
603015,0,3,1360
603016,0,3,1361
603017,0,3,1362
603018,0,3,1363
603019,0,3,1364
603020,0,3,1365
603021,0,3,1366
603022,0,3,1367
603023,0,3,1368
603024,0,3,1369
603025,0,3,1370
603026,0,3,1371
603027,0,3,1372
603028,0,3,1373
603029,0,3,1374
603030,0,3,1375
603031,0,3,1376
603032,0,3,1377
603033,0,3,1378
603034,0,3,1379
603035,0,3,1380
603036,0,3,1381
603037,0,3,1382
603038,0,3,1383
603039,0,3,1384
603040,0,3,1385
603041,0,3,1386
603042,0,3,1387
603043,0,3,1388
603044,0,3,1389
603045,0,3,1390
603046,0,3,1391
603047,0,3,1392
603048,0,3,1393
603049,0,3,1394
603050,0,3,1395
603051,0,3,1396
603052,0,3,1397
603053,0,3,1398
603054,0,3,1399
603055,0,3,1400
603056,0,3,1401
603057,0,3,1402
603058,0,3,1403
603059,0,3,1404
603060,0,3,1405
604001,0,3,1406
604002,0,3,1407
604003,0,3,1408
604004,0,3,1409
604005,0,3,1410
604006,0,3,1411
604007,0,3,1412
604008,0,3,1413
604009,0,3,1414
604010,0,3,1415
604011,0,3,1416
604012,0,3,1417
604013,0,3,1418
604014,0,3,1419
604015,0,3,1420
604016,0,3,1421
604017,0,3,1422
604018,0,3,1423
604019,0,3,1424
604020,0,3,1425
604021,0,3,1426
604022,0,3,1427
604023,0,3,1428
604024,0,3,1429
604025,0,3,1430
604026,0,3,1431
604027,0,3,1432
604028,0,3,1433
604029,0,3,1434
604030,0,3,1435
604031,0,3,1436
604032,0,3,1437
604033,0,3,1438
604034,0,3,1439
604035,0,3,1440
604036,0,3,1441
604037,0,3,1442
604038,0,3,1443
604039,0,3,1444
604040,0,3,1445
604041,0,3,1446
604042,0,3,1447
604043,0,3,1448
604044,0,3,1449
604045,0,3,1450
604046,0,3,1451
604047,0,3,1452
604048,0,3,1453
604049,0,3,1454
604050,0,3,1455
604051,0,3,1456
604052,0,3,1457
604053,0,3,1458
604054,0,3,1459
604055,0,3,1460
604056,0,3,1461
604057,0,3,1462
604058,0,3,1463
604059,0,3,1464
604060,0,3,1465
604061,0,3,1466
604062,0,3,1467
604063,0,3,1468
604064,0,3,1469
604065,0,3,1470
605001,0,3,1471
605002,0,3,1472
605003,0,3,1473
605004,0,3,1474
605005,0,3,1475
605006,0,3,1476
605007,0,3,1477
605008,0,3,1478
605009,0,3,1479
605010,0,3,1480
605011,0,3,1481
605012,0,3,1482
605013,0,3,1483
605014,0,3,1484
605015,0,3,1485
605016,0,3,1486
605017,0,3,1487
605018,0,3,1488
605019,0,3,1489
605020,0,3,1490
605021,0,3,1491
605022,0,3,1492
605023,0,3,1493
605024,0,3,1494
605025,0,3,1495
605026,0,3,1496
